array_sum: 0.010083 s (10000000.0)
array_sum: 0.009585 s (10000000.0)
sum: 0.004677 s (10000000.0)
py_sum: 1.384787 s (10000000.0)
         106794 function calls (103729 primitive calls) in 1.730 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
       41    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
    30/20    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
        8    0.000    0.000    0.000    0.000 typing.py:2045(__init_subclass__)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
      177    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       57    0.000    0.000    0.000    0.000 _parser.py:369(_escape)
        1    0.000    0.000    0.110    0.110 overrides.py:1(<module>)
       56    0.000    0.000    0.000    0.000 enum.py:686(__call__)
       10    0.000    0.000    0.005    0.000 fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
       10    0.000    0.000    0.005    0.000 fromnumeric.py:2177(sum)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
      183    0.000    0.000    0.000    0.000 typing.py:1694(_value_and_type_iter)
       23    0.000    0.000    0.001    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.031    0.031 _pickle.py:1(<module>)
       80    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      160    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       56    0.000    0.000    0.004    0.000 typing.py:479(__getitem__)
      191    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       28    0.000    0.000    0.000    0.000 _parser.py:224(__init__)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:242(__set_name__)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        2    0.000    0.000    0.000    0.000 typing.py:2946(__new__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
      162    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       13    0.000    0.000    0.000    0.000 enum.py:365(__setitem__)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:921(__init__)
        1    0.000    0.000    0.011    0.011 _internal.py:1(<module>)
      395    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.032    0.032 index_tricks.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       12    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
        1    0.000    0.000    0.019    0.019 py3k.py:1(<module>)
       44    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      133    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        1    0.000    0.000    0.000    0.000 pathlib.py:455(PurePath)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
       56    0.000    0.000    0.000    0.000 enum.py:1091(__new__)
       44    0.000    0.000    0.000    0.000 typing.py:1033(__typing_subst__)
        8    0.000    0.000    0.000    0.000 typing.py:1851(__init_subclass__)
